accession,symbol,description,log2FC,pval,padj
O95167,NDUFA3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 OS=Homo sapiens OX=9606 GN=NDUFA3 PE=1 SV=1,-0.03453888502456248,0.5366766393741176,0.6057538305806872
P61964,WDR5,WD repeat-containing protein 5 OS=Homo sapiens OX=9606 GN=WDR5 PE=1 SV=1,-0.010374324412103508,0.5372047520166862,0.6062200392640067
Q96DX4,RSPRY1,RING finger and SPRY domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSPRY1 PE=1 SV=1,-0.04192893028457778,0.5372730535521898,0.6062200392640067
Q96K49,TMEM87B,Transmembrane protein 87B OS=Homo sapiens OX=9606 GN=TMEM87B PE=1 SV=1,0.07322011996491096,0.5374344785028083,0.6062987155537568
Q9BYC9,MRPL20,"39S ribosomal protein L20, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL20 PE=1 SV=1",-0.010978913131012014,0.538721413422931,0.6076468757339508
Q7Z794,KRT77,"Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3",-0.14164929286700692,0.5395857893188959,0.6085180349610335
Q9GZP7,VN1R1,Vomeronasal type-1 receptor 1 OS=Homo sapiens OX=9606 GN=VN1R1 PE=2 SV=1,-0.04399275979357853,0.5398592128679204,0.6087119038118304
Q9P260,RELCH,RAB11-binding protein RELCH OS=Homo sapiens OX=9606 GN=RELCH PE=1 SV=2,0.01083501168133516,0.5399418203049584,0.6087119038118304
Q9NUA8,ZBTB40,Zinc finger and BTB domain-containing protein 40 OS=Homo sapiens OX=9606 GN=ZBTB40 PE=1 SV=4,0.052261411456229645,0.540388440863909,0.6091115531865269
Q08357,SLC20A2,Sodium-dependent phosphate transporter 2 OS=Homo sapiens OX=9606 GN=SLC20A2 PE=1 SV=1,-0.05720094427370048,0.5420377945466253,0.6108020814663173
O95825,CRYZL1,Quinone oxidoreductase-like protein 1 OS=Homo sapiens OX=9606 GN=CRYZL1 PE=1 SV=2,-0.008165883046882122,0.542072990629817,0.6108020814663173
P19623,SRM,Spermidine synthase OS=Homo sapiens OX=9606 GN=SRM PE=1 SV=1,-0.015894084227974226,0.5422228142934489,0.610866799813986
Q7Z4H7,HAUS6,HAUS augmin-like complex subunit 6 OS=Homo sapiens OX=9606 GN=HAUS6 PE=1 SV=2,-0.011739776409744884,0.5434192685348919,0.612110426499609
Q9Y6G3,MRPL42,"39S ribosomal protein L42, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL42 PE=1 SV=1",-0.07850006373340257,0.5435755992065117,0.6121822282325762
Q8N387,MUC15,Mucin-15 OS=Homo sapiens OX=9606 GN=MUC15 PE=1 SV=2,0.020721637346836186,0.5441699403854947,0.6127472148891163
Q9BRR6,ADPGK,ADP-dependent glucokinase OS=Homo sapiens OX=9606 GN=ADPGK PE=1 SV=1,0.04845166448335192,0.5456486149315734,0.6143076182406885
Q96ST2,IWS1,Protein IWS1 homolog OS=Homo sapiens OX=9606 GN=IWS1 PE=1 SV=2,0.01113827451281324,0.5463886482975008,0.6150360474196587
