gene_id,log2FC,pval,padj,symbol
ENSMUSG00000022323,0.20429485038026363,0.005190545792859029,0.2357412893758993,Rida
ENSMUSG00000055670,-0.20695910411462937,0.005156203608402171,0.2357412893758993,Zzef1
ENSMUSG00000024558,-0.33145720872100937,0.004912868720093974,0.2357412893758993,Mapk4
ENSMUSG00000000916,-0.1588500057164034,0.005033542783425258,0.2357412893758993,Nsun5
ENSMUSG00000021669,-0.2508850480817342,0.005266377741689131,0.23641985000382898,Cert1
ENSMUSG00000091383,-0.9716830932977819,0.00533288672924289,0.23757806833482067,H2af-ps2
ENSMUSG00000029269,0.3918606516631351,0.005331615255065625,0.23757806833482067,Sult1b1
ENSMUSG00000062906,-0.2237062969596177,0.005374449747322416,0.23851930589637732,Hdac10
ENSMUSG00000049755,-0.344612650973084,0.0054340327496646594,0.239343510392777,Zfp672
ENSMUSG00000043140,-0.19228213117035542,0.005417440177661975,0.239343510392777,Tmem186
ENSMUSG00000037190,-0.1741136449251125,0.005501365501259921,0.24139826364926992,Cyb561d2
ENSMUSG00000025225,-0.20795871394704948,0.00554681359644562,0.2424809299539823,Nfkb2
ENSMUSG00000064372,0.36638048719090927,0.005650074728576461,0.246073403850539,mt-Tp
ENSMUSG00000042035,-0.36892263681420284,0.00577018006269918,0.2487491944090367,Igsf3
ENSMUSG00000001418,-0.11969910520666471,0.005775448225226949,0.2487491944090367,Glmp
ENSMUSG00000038007,-0.504880661918523,0.005760973939084519,0.2487491944090367,Acer2
ENSMUSG00000050148,-0.23793168891112437,0.0058318150227381505,0.25025347406396947,Ubqln2
ENSMUSG00000003363,-0.18007470181783847,0.005861324286184106,0.25059845079978343,Pld3
ENSMUSG00000020019,-0.63247601618561,0.005911689651407294,0.25182934894608006,Ntn4
ENSMUSG00000025417,-0.18636800175596668,0.005980709771648014,0.253843070744275,Pip4k2c
ENSMUSG00000020739,-0.17434659218405824,0.006182176511572493,0.26069866248303836,Nup85
ENSMUSG00000025781,0.11445754854549517,0.006186902802244827,0.26069866248303836,Atp5f1c
ENSMUSG00000078651,-0.25492802441122253,0.006237140964256027,0.2609315746766894,Aoc2
ENSMUSG00000038515,-0.19678869402563742,0.006222511085394955,0.2609315746766894,Grtp1
ENSMUSG00000022299,-0.3468453084381477,0.00627379538236358,0.26152764179624177,Slc25a32
ENSMUSG00000019464,-0.27994192311026067,0.006333620290270242,0.26214899300721367,Ptger1
ENSMUSG00000034430,-0.22062499012900388,0.006368751746817424,0.26267162681573486,Zxdc
ENSMUSG00000077450,-0.11449978237127734,0.006423859762468896,0.2640115885476653,Rab11b
ENSMUSG00000030216,-0.13401375879767974,0.006493752672175022,0.2659476532969363,Wbp11
ENSMUSG00000078670,-0.4061367521833059,0.006904426654473078,0.2666947705647261,Fam174b
ENSMUSG00000021520,0.22663489159012795,0.006539199869140857,0.2666947705647261,Uqcrb
ENSMUSG00000028099,-0.09733516225745587,0.006590054179824213,0.2666947705647261,Polr3c
ENSMUSG00000029480,-0.18371629338878537,0.006923279256435232,0.2666947705647261,Dhx37
ENSMUSG00000031349,0.6332906429796147,0.006753765212665377,0.2666947705647261,Nsdhl
ENSMUSG00000020576,-0.16559925765530287,0.006812467259960415,0.2666947705647261,Nbas
ENSMUSG00000071652,-0.1826075309141179,0.006703964055020738,0.2666947705647261,Ints5
ENSMUSG00000018820,-0.20762190856344953,0.006907599466124493,0.2666947705647261,Zfyve27
ENSMUSG00000060224,-0.2748709373486492,0.006605629095071956,0.2666947705647261,Pyroxd2
ENSMUSG00000030374,-0.14538102819172727,0.00680394107628344,0.2666947705647261,Strn4
ENSMUSG00000022562,-0.16672344453584487,0.006876105543694088,0.2666947705647261,Oplah
ENSMUSG00000049807,-0.3209949069767887,0.006611311761505858,0.2666947705647261,Arhgap23
ENSMUSG00000078517,-0.30039688669349274,0.006688036198103193,0.2666947705647261,Emc1
ENSMUSG00000068523,0.15369562409175908,0.006859478880182287,0.2666947705647261,Gng5
ENSMUSG00000051149,-0.2639249677228529,0.006844797880045212,0.2666947705647261,Adnp
ENSMUSG00000047248,-0.2623217663773805,0.006680235271682425,0.2666947705647261,C2cd3
